"cislo strany","nazov strany","cislo kandidata",meno,priezvisko,tituly,vek,povolania,mesto
1,"STRANA TIP",1,Tomáš,Hudec,Ing.,38,riaditeľ,"Banská Bystrica"
1,"STRANA TIP",2,Jana,Vološinová,PaedDr.,43,učiteľka,Snina
1,"STRANA TIP",3,Martin,Schwantzer,Bc.,39,manažér,"Banská Bystrica"
1,"STRANA TIP",4,Marek,Lovecký,Ing.,45,konzultant,Sereď
1,"STRANA TIP",5,Andrea,Oravcová,Bc.,28,študentka,"Banská Bystrica"
1,"STRANA TIP",6,Marek,Križánek,Mgr.,42,manažér,Košice
1,"STRANA TIP",7,Ľuboš,Majer,Ing.;MBA,35,"obchodný zástupca",Žilina
1,"STRANA TIP",8,Ján,Hurban,Ing.;MBA;LL.M.,33,viceprimátor,Senica
1,"STRANA TIP",9,Peter,S~dlák,Ing.,30,podnikateľ,Humenné
1,"STRANA TIP",10,Matúš,Simaľ,JUDr.,30,"advokátsky koncipient",Humenné
1,"STRANA TIP",11,Ivana,Venžíková,Mgr.,27,podnikateľka,Trnava
1,"STRANA TIP",12,Karol,Hudeček,,50,manažér,Levice
1,"STRANA TIP",13,Ľubomír,Bajus,,55,"invalidný dôchodca",Košice
1,"STRANA TIP",14,Miroslav,Pinte,,47,"riaditeľ realitnej kancelárie",Bratislava
1,"STRANA TIP",15,Marián,Mandelík,MVDr.,49,manažér,Bratislava
1,"STRANA TIP",16,Anton,Minárik,PaedDr.,38,manažér,"Banská Bystrica"
1,"STRANA TIP",17,František,Hanc,,41,"manažér športového klubu",Snina
1,"STRANA TIP",18,Roman,Vajaš,Mgr.,43,"projektový manažér",Myjava
1,"STRANA TIP",19,Marián,Fabuš,,65,kynológ,Domaniža
1,"STRANA TIP",20,Tomáš,Novota,Mgr.,24,manažér,Sečovce
1,"STRANA TIP",21,Milan,Krigler,Mgr.;MPH,45,manažér,Bratislava
1,"STRANA TIP",22,Gabriela,Miková,,48,"operátorka výroby",TurčianskeTeplice
1,"STRANA TIP",23,Ľubomír,Hadvičák,Mgr.,37,podnikateľ,BanskáBystrica
1,"STRANA TIP",24,Marian,Andráško,Mgr.,40,"vedúci prevádzky",VeľkýKrtíš
1,"STRANA TIP",25,Kamil,Bílek,Ing.,48,živnostník,"Banská Bystrica"
1,"STRANA TIP",26,Gejza,Dubovicky,Mgr.,54,podnikateľ,Bátka
1,"STRANA TIP",27,Juraj,Tilesch,BSBA,30,živnostník,Trenčín
1,"STRANA TIP",28,Eva,Kováčová,Mgr.,61,,"pedagogičklb Púchov"
1,"STRANA TIP",29,Martin,Mitter,,37,"manažér predaja",Spačince
1,"STRANA TIP",30,Rastislav,Gajdoš,MUDr.,43,lekár,"Horné Orešany"
1,"STRANA TIP",31,Tomáš,Kromka,Ing.,34,"regionálny riaditeľ poisťovne",Svidník
1,"STRANA TIP",32,Martin,Michalík,Bc.,31,"zdravotnícky záchranár",Žarnovica
1,"STRANA TIP",33,Matúš,Jurko,Ing.,32,"zmenový majster",Drienov
1,"STRANA TIP",34,Miriam,Hadobás,Bc.,37,asistentka,Cestice
1,"STRANA TIP",35,Peter,Žifčák,Ing.,56,"obchodný a marketingovýpracovník",Gelnica
1,"STRANA TIP",36,Jozef,Lackaň,,48,živnostník,Prešov
1,"STRANA TIP",37,Marek,Španihel,Bc.,23,študent,"Veľký Biel"
1,"STRANA TIP",38,Jozef,Bojačko,,39,"administratívny pracovník",Sobrance
1,"STRANA TIP",39,Nikola,Babinská,,33,"asistentka riaditeľa",Martin
1,"STRANA TIP",40,Igor,Polaško,Bc.,47,"radiologický laborant",Michalovce
1,"STRANA TIP",41,Ján,Havriľák,Ing.,29,"obchodný konzultant",Ubľa
1,"STRANA TIP",42,Nikoleta,Michálková,,21,študentka,Nemčice
1,"STRANA TIP",43,Vlasta,Beňová,Mgr.,40,krupiérka,Cinobaňa
1,"STRANA TIP",44,Mária,Michnová,Ing.,42,"administratívna pracovníčka","Zvolenská Slatina"
1,"STRANA TIP",45,Alena,Židová,Ing.,53,"riaditeľka školy",Humenné
1,"STRANA TIP",46,Eduard,Herdel,,46,živnostník,Zubrohlava
1,"STRANA TIP",47,Ernestína,Bóžiková,Mgr.,61,manažérka,Želiezovce
1,"STRANA TIP",48,Ján,Varga,,50,živnostník,"Hliník nad Hronom"
1,"STRANA TIP",49,Martin,Kuchár,,38,podnikateľ,Prešov
1,"STRANA TIP",50,Imrich,Habušta,,43,rušňovodič,Sobrance
1,"STRANA TIP",51,Pavol,Gábor,Ing.,57,podnikateľ,Detva
1,"STRANA TIP",52,Miroslav,Vojsovič,,35,"riaditeľ technických služieb mesta",Svit
1,"STRANA TIP",53,Peter,Maliňák,,48,"výsluhový dôchodca",Košice
1,"STRANA TIP",54,Michval,Lazor,,42,"zdravotná sestra","Nižné Repaše"
1,"STRANA TIP",55,Ján,Curlik,MVDr.;PhD.,46,"vysokoškolský učiteľ","Hanušovce nad Topľou"
1,"STRANA TIP",56,Maroš,Fedor,,43,"výrobný riaditeľ",Košice
1,"STRANA TIP",57,Róbert,Rosenberg,,55,podnikateľ,Košice
1,"STRANA TIP",58,Viera,Simanová,Bc.,50,"odborná pracovníčkakomunitného centra",Revúca
1,"STRANA TIP",59,Marek,Chnápko,,29,"koordinátor vfroby",Pečeňady
1,"STRANA TIP",60,Michal,Konč,,39,živnostník,"Vyšný Caj"
1,"STRANA TIP",61,Radovan,Betík,Mgr.,41,manažér,Ružomberok
1,"STRANA TIP",62,Miroslava,Drabiščáková,Mgr.,27,koordinátorka,Senica
1,"STRANA TIP",63,Tomáš,Urbaník,Mgr.,32,"športový manažér;spisovateľ",Čadca
1,"STRANA TIP",64,Radomír,Wágner,,47,podnikateľ,"Veľký Krtíš"
1,"STRANA TIP",65,Ján,Roth,Ing.,52,živnostník,Poprad
